relative_path,primary_cms,report_type,confidence,include,drives_migration_timing,row_count,dominance_percent,notes
New CMS Exports/AU_NZ_SG_-_2026-04-25.csv,wix,current_detected,needs_review,true,false,236067,100.0,"High-confidence Wix CMS file, but date pattern indicates live/current rather than no-longer-detected."
New CMS Exports/AU_NZ_SG_1_-_2026-04-25.csv,squarespace,current_detected,high,true,false,238667,100.0,"All live/current Squarespace export."
New CMS Exports/AU_NZ_SG_2_-_2026-04-25.csv,webflow,current_detected,high,true,false,24233,99.6,"All live/current Webflow export."
New CMS Exports/AU_NZ_SG_5_-_2026-04-25.csv,duda,current_detected,high,true,false,33064,99.9,"All live/current Duda export."
New CMS Exports/AU_NZ_SG_11_-_2026-04-25.csv,wix,no_longer_detected,medium,true,true,109084,12.3,"Wix no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/AU_NZ_SG_12_-_2026-04-25.csv,squarespace,no_longer_detected,medium,true,true,132247,16.5,"Squarespace no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/AU_NZ_SG_13_-_2026-04-25.csv,webflow,no_longer_detected,medium,true,true,16914,15.4,"Webflow no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/AU_NZ_SG_15_-_2026-04-25.csv,joomla,no_longer_detected,medium,true,true,33953,24.0,"Joomla no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/AU_NZ_SG_15_-_2026-04-25 2.csv,wordpress,ambiguous,low,false,false,33953,24.0,"Quarantined duplicate of AU_NZ_SG_15."
New CMS Exports/AU_SG_NZ_2_-_2026-04-25.csv,drupal,no_longer_detected,medium,true,true,86263,33.9,"Drupal no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/Country_AU_NZ_-_2026-04-25/AU_NZ_-_2026-04-25.csv,craft,recently_added,high,true,true,113,95.6,"Craft recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Country_AU_NZ_SG_3_-_2026-04-25/AU_NZ_SG_3_-_2026-04-25.csv,drupal,current_detected,high,true,false,7831,97.3,"All live/current Drupal export."
New CMS Exports/Country_AU_NZ_SG_4_-_2026-04-25/AU_NZ_SG_4_-_2026-04-25.csv,joomla,current_detected,high,true,false,11260,99.0,"All live/current Joomla export."
New CMS Exports/Country_AU_NZ_SG_6_-_2026-04-25/AU_NZ_SG_6_-_2026-04-25.csv,craft,current_detected,high,true,false,2880,98.3,"All live/current Craft export."
New CMS Exports/Country_AU_NZ_SG_7_-_2026-04-25/AU_NZ_SG_7_-_2026-04-25.csv,umbraco,current_detected,high,true,false,108,97.2,"All live/current Umbraco export."
New CMS Exports/Country_AU_NZ_SG_8_-_2026-04-25/AU_NZ_SG_8_-_2026-04-25.csv,framer,current_detected,high,true,false,4330,99.6,"All live/current Framer export."
New CMS Exports/Country_AU_NZ_SG_9_-_2026-04-25/AU_NZ_SG_9_-_2026-04-25.csv,wix,recently_added,high,true,true,5808,99.9,"Wix recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Country_AU_NZ_SG_10_-_2026-04-25/AU_NZ_SG_10_-_2026-04-25.csv,squarespace,recently_added,high,true,true,7631,99.9,"Squarespace recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Country_AU_NZ_SG_14_-_2026-04-25/AU_NZ_SG_14_-_2026-04-25.csv,drupal,recently_added,high,true,true,230,87.4,"Drupal recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Country_AU_NZ_SG_16_-_2026-04-25/AU_NZ_SG_16_-_2026-04-25.csv,duda,recently_added,high,true,true,539,99.8,"Duda recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Country_AU_NZ_SG_17_-_2026-04-25/AU_NZ_SG_17_-_2026-04-25.csv,craft,no_longer_detected,medium,true,true,3761,14.9,"Craft no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/Country_AU_NZ_SG_18_-_2026-04-25/AU_NZ_SG_18_-_2026-04-25.csv,joomla,no_longer_detected,medium,true,true,5639,15.7,"Joomla no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/Country_AU_NZ_SG_19_-_2026-04-25/AU_NZ_SG_19_-_2026-04-25.csv,framer,recently_added,high,true,true,791,99.5,"Framer recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Country_AU_NZ_SG_20_-_2026-04-25/AU_NZ_SG_20_-_2026-04-25.csv,framer,no_longer_detected,medium,true,true,1173,31.3,"Framer no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/Country_AU_NZ_SG_21_-_2026-04-25/AU_NZ_SG_21_-_2026-04-25.csv,duda,no_longer_detected,medium,true,true,15706,27.8,"Duda no-longer-detected report. Row CMS values are mixed because they describe replacement/current CMS, not the removed source technology."
New CMS Exports/Country_AU_SG_NZ_-_2026-04-25/AU_SG_NZ_-_2026-04-25.csv,webflow,recently_added,high,true,true,1276,99.0,"Webflow recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Country_AU_SG_NZ_1_-_2026-04-25/AU_SG_NZ_1_-_2026-04-25.csv,joomla,recently_added,high,true,true,256,96.1,"Joomla recently-detected export with first-detected dates clustered in 2026."
New CMS Exports/Umbraco_websites_that_were_added_Recently_-_2026-04-25/Umbraco_websites_that_were_added_Recently_-_2026-04-25.csv,umbraco,recently_added,medium,true,true,32,78.1,"Explicit recently-added Umbraco report, small and partly mixed."
New CMS Exports/WordPress_websites_in_Australia_-_2026-04-25.csv,wordpress,current_detected,high,true,false,532989,99.8,"All live/current WordPress Australia export."
New CMS Exports/WordPress_websites_in_New_Zealand_-_2026-04-25.csv,wordpress,current_detected,high,true,false,91967,99.7,"All live/current WordPress New Zealand export."
New CMS Exports/WordPress_websites_in_Singapore_-_2026-04-25.csv,wordpress,current_detected,high,true,false,59557,99.5,"All live/current WordPress Singapore export."
New CMS Exports/WordPress_websites_that_were_added_Recently_-_2026-04-25.csv,wordpress,recently_added,high,true,true,2603316,98.8,"Explicit recently-added WordPress report."
